Name,Type,Phone,Address,City,County,Website
Eubanks Gunsmithing,Gunsmith,N/A,"Near Oregon border, Snake River area",Owyhee County,Owyhee,eubanksgunsmithing.com
Homedale Gun Club,"Shooting Club, Range",N/A,"9592 US-95, Marsing, ID 83639",Marsing,Owyhee,homedalegunclub.com
Homedale Rod & Gun Club,Shooting Club,(208) 459-2256,"PO Box 665, Marsing, ID 83639",Marsing,Owyhee,homedalegunclub.com
I Am Focused Firearms Training,"Training, Concealed Carry",N/A,"Serves Homedale Gun Club, Marsing",Marsing,Owyhee,iamfocusedft.com
American Firearms Academy,"Training, CCW",(208) 229-4677,Serves Owyhee County,Murphy,Owyhee,afaidaho.com
Owyhee County Sheriff's Office - CCW Permits,Government CCW Services,(208) 495-1154,"20381 State Highway 78, Murphy, ID 83650",Murphy,Owyhee,owyheecounty.net/departments/sheriff/concealed-weapons/
Amoureux Homedale Gun Show,Gun Show/Event,N/A,"432 West Nevada Ave, Homedale, ID 83628",Homedale,Owyhee,gunshowtrader.com/gun-shows/homedale-gun-show/
Owyhee County Fairgrounds,"Event Venue, Gun Shows",N/A,"432 West Nevada Ave, Homedale, ID 83628",Homedale,Owyhee,N/A
BLM Snake River Birds of Prey NCA,Public Shooting Area (restricted),N/A,Snake River Canyon area,Murphy,Owyhee,blm.gov
