Name,Type,Phone,Address,City,County,Website,Events
Gem County Rod & Gun Club,"Shooting Club, Range",208-365-4551,"3600 E Main St, Emmett, ID 83617",Emmett,Gem,gcrgc.net,"CMP Matches, Cowboy Action Shooters, USPSA Matches, Steel Challenge"
Black's Creek Public Shooting Range,Public Shooting Range,208-342-9614,"2420 E Kuna Mora Rd, Kuna, ID 83634",Kuna,Ada,idfg.idaho.gov/shoot/blacks-creek,"ID State BPCR Silhouette Championships, Youth Shoots"
Idaho Firearms Classes,Firearm Training School,N/A,Boise Area,Boise,Ada,idahofirearmsclasses.com,"Basic & Advanced Training, CCW Classes"
Rock Creek Ranch,Private Training Range,208-996-3555,"11300 Pearl Rd, Emmett, ID 83617",Emmett,Gem,littletrapper.com/rock-creek-ranch,Private Training Events
Gem County Fairgrounds,Event Venue,208-365-4550,"453 S 18th St, Emmett, ID 83617",Emmett,Gem,gemcountyfairgrounds.com,"Gem/Boise County Fair, PRCA Black Canyon Rodeo"
Gem State Firearms Training,Firearms Training,N/A,"Post Falls, ID",Post Falls,Kootenai,gemstateft.com,Concealed Carry && Safety Classes
