Name,Type,Phone,Address,City,County,Website,Events
Black's Creek Public Shooting Range,Public Shooting Range,208-342-9614,"2420 E Kuna Mora Rd, Kuna, ID 83634",Kuna,Ada,idfg.idaho.gov/shoot/blacks-creek,"Long Range Match, Youth Shoots, Benchrest Matches"
Independence Indoor Shooting,"Indoor Shooting Range, Shop, Training",208-852-4867,"2749 E Gala Ct, Meridian, ID 83642",Meridian,Ada,iishooting.com,"Full Auto Experience, Defensive Pistol Courses"
Double Tapp Range,"Private Shooting Range, Training",208-559-3337,"16 miles East of Boise, ID",Boise,Ada,doubletappboise.com,"Membership Only, Tactical Shooting Events"
Idaho Firearms Classes,Firearm Training School,208-938-6090,"Boise, ID",Boise,Ada,idahofirearmsclasses.com,"Basic to Advanced Firearms Training, CCW Classes"
Little Explorers 4-H Shooting Sports,Youth Shooting Club,208-642-6036,"Boise, ID",Boise,Ada,uidaho.edu/extension/county/ada/4-h,"Youth Shooting Sports Competitions, Archery"
Boise Police Revolver League,Shooting Club,208-344-6274,"Boise, ID",Boise,Ada,N/A,Weekly Practice Matches
Idaho Police Revolver League,Shooting Club,208-344-6274,"Boise, ID",Boise,Ada,N/A,Weekly Practice Matches
Idaho Automatic Weapons Collectors Association Inc,Shooting Club,208-465-0970,"Boise, ID",Boise,Ada,N/A,"Gun Shows, Monthly Meetings"
